publication_vintage_date,reference_date,characteristic_category_id,statistic_basis_id,observation_period_id,principal_offence_id,characteristic_group_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_statistic_basis,raw_observation_period,raw_principal_offence,raw_characteristic_group,raw_jurisdiction,raw_classification_context
2022-06-30,2021-06-30,CHAR_TOTAL_GUILTY_OUTCOME,COUNT,2021-06-30,OFFENCE_0291_STALKING_AND_053_HARASSMENT_AND_THREATENING_BEHAVIOUR,GROUP_PRINCIPAL_SENTENCE,AUSTRALIA,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,5856,observed,5856,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 2,R69C8,sha256:f61737c4122a16cf3747722efcc9d359c4bd3a85cde25ffbb5d9f7a9527e0c33,criminal-courts-australia,sha256:39a5e2f3d67b1ac53e6811e685d7761aed35b073e16bb2b265584d1d8057022b,tidy.table-family-acceptance/v2,sha256:b35163d759be42c92b489a0f2c80cef64020bab4522898851b1559dc4e651898,sha256:9d13b06126b4063772e846e52bd82b8c51267ca58889a79b9a63d75c6cece4dc,sha256:c3e3f8ff4914573d8b8301013423f927eee6ff6487d18828aba1357643c8a9af,human-authored/deterministic-map-v1,replay:sha256:c9789e562436ce43304c671c7a535adaaf90bf7d54cb0955fca68649b3184f43,Total guilty outcome,Total guilty outcome,2020–21, 0291 Stalking & 053 Harassment and threatening behaviour,Principal sentence,"FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22","FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_TOTAL_GUILTY_OUTCOME,COUNT,2021-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_PRINCIPAL_SENTENCE,AUSTRALIA,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,27395,observed,27395,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 2,R69C3,sha256:f61737c4122a16cf3747722efcc9d359c4bd3a85cde25ffbb5d9f7a9527e0c33,criminal-courts-australia,sha256:39a5e2f3d67b1ac53e6811e685d7761aed35b073e16bb2b265584d1d8057022b,tidy.table-family-acceptance/v2,sha256:b35163d759be42c92b489a0f2c80cef64020bab4522898851b1559dc4e651898,sha256:9d13b06126b4063772e846e52bd82b8c51267ca58889a79b9a63d75c6cece4dc,sha256:c3e3f8ff4914573d8b8301013423f927eee6ff6487d18828aba1357643c8a9af,human-authored/deterministic-map-v1,replay:sha256:c9789e562436ce43304c671c7a535adaaf90bf7d54cb0955fca68649b3184f43,Total guilty outcome,Total guilty outcome,2020–21,02 Acts intended to cause injury,Principal sentence,"FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22","FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_TOTAL_GUILTY_OUTCOME,COUNT,2021-06-30,OFFENCE_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_SENTENCE,AUSTRALIA,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,897,observed,897,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 2,R69C5,sha256:f61737c4122a16cf3747722efcc9d359c4bd3a85cde25ffbb5d9f7a9527e0c33,criminal-courts-australia,sha256:39a5e2f3d67b1ac53e6811e685d7761aed35b073e16bb2b265584d1d8057022b,tidy.table-family-acceptance/v2,sha256:b35163d759be42c92b489a0f2c80cef64020bab4522898851b1559dc4e651898,sha256:9d13b06126b4063772e846e52bd82b8c51267ca58889a79b9a63d75c6cece4dc,sha256:c3e3f8ff4914573d8b8301013423f927eee6ff6487d18828aba1357643c8a9af,human-authored/deterministic-map-v1,replay:sha256:c9789e562436ce43304c671c7a535adaaf90bf7d54cb0955fca68649b3184f43,Total guilty outcome,Total guilty outcome,2020–21,03 Sexual assault and related offences,Principal sentence,"FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22","FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_TOTAL_GUILTY_OUTCOME,COUNT,2021-06-30,OFFENCE_049_OTHER_DANGEROUS_OR_NEGLIGENT_ACTS,GROUP_PRINCIPAL_SENTENCE,AUSTRALIA,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,226,observed,226,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 2,R69C6,sha256:f61737c4122a16cf3747722efcc9d359c4bd3a85cde25ffbb5d9f7a9527e0c33,criminal-courts-australia,sha256:39a5e2f3d67b1ac53e6811e685d7761aed35b073e16bb2b265584d1d8057022b,tidy.table-family-acceptance/v2,sha256:b35163d759be42c92b489a0f2c80cef64020bab4522898851b1559dc4e651898,sha256:9d13b06126b4063772e846e52bd82b8c51267ca58889a79b9a63d75c6cece4dc,sha256:c3e3f8ff4914573d8b8301013423f927eee6ff6487d18828aba1357643c8a9af,human-authored/deterministic-map-v1,replay:sha256:c9789e562436ce43304c671c7a535adaaf90bf7d54cb0955fca68649b3184f43,Total guilty outcome,Total guilty outcome,2020–21,049 Other dangerous or negligent acts,Principal sentence,"FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22","FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_TOTAL_GUILTY_OUTCOME,COUNT,2021-06-30,OFFENCE_05_ABDUCTION_HARASSMENT,GROUP_PRINCIPAL_SENTENCE,AUSTRALIA,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,977,observed,977,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 2,R69C7,sha256:f61737c4122a16cf3747722efcc9d359c4bd3a85cde25ffbb5d9f7a9527e0c33,criminal-courts-australia,sha256:39a5e2f3d67b1ac53e6811e685d7761aed35b073e16bb2b265584d1d8057022b,tidy.table-family-acceptance/v2,sha256:b35163d759be42c92b489a0f2c80cef64020bab4522898851b1559dc4e651898,sha256:9d13b06126b4063772e846e52bd82b8c51267ca58889a79b9a63d75c6cece4dc,sha256:c3e3f8ff4914573d8b8301013423f927eee6ff6487d18828aba1357643c8a9af,human-authored/deterministic-map-v1,replay:sha256:c9789e562436ce43304c671c7a535adaaf90bf7d54cb0955fca68649b3184f43,Total guilty outcome,Total guilty outcome,2020–21,05 Abduction/ harassment,Principal sentence,"FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22","FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_TOTAL_GUILTY_OUTCOME,COUNT,2021-06-30,OFFENCE_121_PROPERTY_DAMAGE,GROUP_PRINCIPAL_SENTENCE,AUSTRALIA,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,5217,observed,5217,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 2,R69C9,sha256:f61737c4122a16cf3747722efcc9d359c4bd3a85cde25ffbb5d9f7a9527e0c33,criminal-courts-australia,sha256:39a5e2f3d67b1ac53e6811e685d7761aed35b073e16bb2b265584d1d8057022b,tidy.table-family-acceptance/v2,sha256:b35163d759be42c92b489a0f2c80cef64020bab4522898851b1559dc4e651898,sha256:9d13b06126b4063772e846e52bd82b8c51267ca58889a79b9a63d75c6cece4dc,sha256:c3e3f8ff4914573d8b8301013423f927eee6ff6487d18828aba1357643c8a9af,human-authored/deterministic-map-v1,replay:sha256:c9789e562436ce43304c671c7a535adaaf90bf7d54cb0955fca68649b3184f43,Total guilty outcome,Total guilty outcome,2020–21,121 Property damage,Principal sentence,"FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22","FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_TOTAL_GUILTY_OUTCOME,COUNT,2021-06-30,OFFENCE_1531_BREACH_OF_VIOLENCE_ORDER,GROUP_PRINCIPAL_SENTENCE,AUSTRALIA,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,28093,observed,28093,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 2,R69C10,sha256:f61737c4122a16cf3747722efcc9d359c4bd3a85cde25ffbb5d9f7a9527e0c33,criminal-courts-australia,sha256:39a5e2f3d67b1ac53e6811e685d7761aed35b073e16bb2b265584d1d8057022b,tidy.table-family-acceptance/v2,sha256:b35163d759be42c92b489a0f2c80cef64020bab4522898851b1559dc4e651898,sha256:9d13b06126b4063772e846e52bd82b8c51267ca58889a79b9a63d75c6cece4dc,sha256:c3e3f8ff4914573d8b8301013423f927eee6ff6487d18828aba1357643c8a9af,human-authored/deterministic-map-v1,replay:sha256:c9789e562436ce43304c671c7a535adaaf90bf7d54cb0955fca68649b3184f43,Total guilty outcome,Total guilty outcome,2020–21,1531 Breach of violence order,Principal sentence,"FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22","FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_TOTAL_GUILTY_OUTCOME,COUNT,2021-06-30,OFFENCE_TOTAL,GROUP_PRINCIPAL_SENTENCE,AUSTRALIA,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,62853,observed,62853,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 2,R69C11,sha256:f61737c4122a16cf3747722efcc9d359c4bd3a85cde25ffbb5d9f7a9527e0c33,criminal-courts-australia,sha256:39a5e2f3d67b1ac53e6811e685d7761aed35b073e16bb2b265584d1d8057022b,tidy.table-family-acceptance/v2,sha256:b35163d759be42c92b489a0f2c80cef64020bab4522898851b1559dc4e651898,sha256:9d13b06126b4063772e846e52bd82b8c51267ca58889a79b9a63d75c6cece4dc,sha256:c3e3f8ff4914573d8b8301013423f927eee6ff6487d18828aba1357643c8a9af,human-authored/deterministic-map-v1,replay:sha256:c9789e562436ce43304c671c7a535adaaf90bf7d54cb0955fca68649b3184f43,Total guilty outcome,Total guilty outcome,2020–21,Total,Principal sentence,"FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22","FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22"
2022-06-30,2022-06-30,CHAR_10_19_YEARS,COUNT,2022-06-30,OFFENCE_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_AGE,AUSTRALIA,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,4,observed,4,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 2,R12C2,sha256:f61737c4122a16cf3747722efcc9d359c4bd3a85cde25ffbb5d9f7a9527e0c33,criminal-courts-australia,sha256:39a5e2f3d67b1ac53e6811e685d7761aed35b073e16bb2b265584d1d8057022b,tidy.table-family-acceptance/v2,sha256:b35163d759be42c92b489a0f2c80cef64020bab4522898851b1559dc4e651898,sha256:9d13b06126b4063772e846e52bd82b8c51267ca58889a79b9a63d75c6cece4dc,sha256:c3e3f8ff4914573d8b8301013423f927eee6ff6487d18828aba1357643c8a9af,human-authored/deterministic-map-v1,replay:sha256:c9789e562436ce43304c671c7a535adaaf90bf7d54cb0955fca68649b3184f43,10–19 years,10–19 years,2021–22,01 Homicide and related offences,Age,"FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22","FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22"
2022-06-30,2022-06-30,CHAR_10_19_YEARS,COUNT,2022-06-30,OFFENCE_021_ASSAULT,GROUP_AGE,AUSTRALIA,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,2305,observed,2305,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 2,R12C4,sha256:f61737c4122a16cf3747722efcc9d359c4bd3a85cde25ffbb5d9f7a9527e0c33,criminal-courts-australia,sha256:39a5e2f3d67b1ac53e6811e685d7761aed35b073e16bb2b265584d1d8057022b,tidy.table-family-acceptance/v2,sha256:b35163d759be42c92b489a0f2c80cef64020bab4522898851b1559dc4e651898,sha256:9d13b06126b4063772e846e52bd82b8c51267ca58889a79b9a63d75c6cece4dc,sha256:c3e3f8ff4914573d8b8301013423f927eee6ff6487d18828aba1357643c8a9af,human-authored/deterministic-map-v1,replay:sha256:c9789e562436ce43304c671c7a535adaaf90bf7d54cb0955fca68649b3184f43,10–19 years,10–19 years,2021–22,021 Assault,Age,"FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22","FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22"
2022-06-30,2022-06-30,CHAR_10_19_YEARS,COUNT,2022-06-30,OFFENCE_0291_STALKING_AND_053_HARASSMENT_AND_THREATENING_BEHAVIOUR,GROUP_AGE,AUSTRALIA,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,660,observed,660,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 2,R12C8,sha256:f61737c4122a16cf3747722efcc9d359c4bd3a85cde25ffbb5d9f7a9527e0c33,criminal-courts-australia,sha256:39a5e2f3d67b1ac53e6811e685d7761aed35b073e16bb2b265584d1d8057022b,tidy.table-family-acceptance/v2,sha256:b35163d759be42c92b489a0f2c80cef64020bab4522898851b1559dc4e651898,sha256:9d13b06126b4063772e846e52bd82b8c51267ca58889a79b9a63d75c6cece4dc,sha256:c3e3f8ff4914573d8b8301013423f927eee6ff6487d18828aba1357643c8a9af,human-authored/deterministic-map-v1,replay:sha256:c9789e562436ce43304c671c7a535adaaf90bf7d54cb0955fca68649b3184f43,10–19 years,10–19 years,2021–22, 0291 Stalking & 053 Harassment and threatening behaviour,Age,"FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22","FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22"
2022-06-30,2022-06-30,CHAR_10_19_YEARS,COUNT,2022-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_AGE,AUSTRALIA,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,2865,observed,2865,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 2,R12C3,sha256:f61737c4122a16cf3747722efcc9d359c4bd3a85cde25ffbb5d9f7a9527e0c33,criminal-courts-australia,sha256:39a5e2f3d67b1ac53e6811e685d7761aed35b073e16bb2b265584d1d8057022b,tidy.table-family-acceptance/v2,sha256:b35163d759be42c92b489a0f2c80cef64020bab4522898851b1559dc4e651898,sha256:9d13b06126b4063772e846e52bd82b8c51267ca58889a79b9a63d75c6cece4dc,sha256:c3e3f8ff4914573d8b8301013423f927eee6ff6487d18828aba1357643c8a9af,human-authored/deterministic-map-v1,replay:sha256:c9789e562436ce43304c671c7a535adaaf90bf7d54cb0955fca68649b3184f43,10–19 years,10–19 years,2021–22,02 Acts intended to cause injury,Age,"FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22","FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22"
2022-06-30,2022-06-30,CHAR_10_19_YEARS,COUNT,2022-06-30,OFFENCE_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,GROUP_AGE,AUSTRALIA,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,124,observed,124,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 2,R12C5,sha256:f61737c4122a16cf3747722efcc9d359c4bd3a85cde25ffbb5d9f7a9527e0c33,criminal-courts-australia,sha256:39a5e2f3d67b1ac53e6811e685d7761aed35b073e16bb2b265584d1d8057022b,tidy.table-family-acceptance/v2,sha256:b35163d759be42c92b489a0f2c80cef64020bab4522898851b1559dc4e651898,sha256:9d13b06126b4063772e846e52bd82b8c51267ca58889a79b9a63d75c6cece4dc,sha256:c3e3f8ff4914573d8b8301013423f927eee6ff6487d18828aba1357643c8a9af,human-authored/deterministic-map-v1,replay:sha256:c9789e562436ce43304c671c7a535adaaf90bf7d54cb0955fca68649b3184f43,10–19 years,10–19 years,2021–22,03 Sexual assault and related offences,Age,"FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22","FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22"
2022-06-30,2022-06-30,CHAR_10_19_YEARS,COUNT,2022-06-30,OFFENCE_049_OTHER_DANGEROUS_OR_NEGLIGENT_ACTS,GROUP_AGE,AUSTRALIA,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,21,observed,21,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 2,R12C6,sha256:f61737c4122a16cf3747722efcc9d359c4bd3a85cde25ffbb5d9f7a9527e0c33,criminal-courts-australia,sha256:39a5e2f3d67b1ac53e6811e685d7761aed35b073e16bb2b265584d1d8057022b,tidy.table-family-acceptance/v2,sha256:b35163d759be42c92b489a0f2c80cef64020bab4522898851b1559dc4e651898,sha256:9d13b06126b4063772e846e52bd82b8c51267ca58889a79b9a63d75c6cece4dc,sha256:c3e3f8ff4914573d8b8301013423f927eee6ff6487d18828aba1357643c8a9af,human-authored/deterministic-map-v1,replay:sha256:c9789e562436ce43304c671c7a535adaaf90bf7d54cb0955fca68649b3184f43,10–19 years,10–19 years,2021–22,049 Other dangerous or negligent acts,Age,"FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22","FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22"
2022-06-30,2022-06-30,CHAR_10_19_YEARS,COUNT,2022-06-30,OFFENCE_05_ABDUCTION_HARASSMENT,GROUP_AGE,AUSTRALIA,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,109,observed,109,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 2,R12C7,sha256:f61737c4122a16cf3747722efcc9d359c4bd3a85cde25ffbb5d9f7a9527e0c33,criminal-courts-australia,sha256:39a5e2f3d67b1ac53e6811e685d7761aed35b073e16bb2b265584d1d8057022b,tidy.table-family-acceptance/v2,sha256:b35163d759be42c92b489a0f2c80cef64020bab4522898851b1559dc4e651898,sha256:9d13b06126b4063772e846e52bd82b8c51267ca58889a79b9a63d75c6cece4dc,sha256:c3e3f8ff4914573d8b8301013423f927eee6ff6487d18828aba1357643c8a9af,human-authored/deterministic-map-v1,replay:sha256:c9789e562436ce43304c671c7a535adaaf90bf7d54cb0955fca68649b3184f43,10–19 years,10–19 years,2021–22,05 Abduction/ harassment,Age,"FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22","FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22"
2022-06-30,2022-06-30,CHAR_10_19_YEARS,COUNT,2022-06-30,OFFENCE_121_PROPERTY_DAMAGE,GROUP_AGE,AUSTRALIA,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,679,observed,679,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 2,R12C9,sha256:f61737c4122a16cf3747722efcc9d359c4bd3a85cde25ffbb5d9f7a9527e0c33,criminal-courts-australia,sha256:39a5e2f3d67b1ac53e6811e685d7761aed35b073e16bb2b265584d1d8057022b,tidy.table-family-acceptance/v2,sha256:b35163d759be42c92b489a0f2c80cef64020bab4522898851b1559dc4e651898,sha256:9d13b06126b4063772e846e52bd82b8c51267ca58889a79b9a63d75c6cece4dc,sha256:c3e3f8ff4914573d8b8301013423f927eee6ff6487d18828aba1357643c8a9af,human-authored/deterministic-map-v1,replay:sha256:c9789e562436ce43304c671c7a535adaaf90bf7d54cb0955fca68649b3184f43,10–19 years,10–19 years,2021–22,121 Property damage,Age,"FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22","FDV Table 2 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australia, 2020–21 to 2021–22"
