publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,principal_offence_id,jurisdiction_id,court_level_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_principal_offence,raw_jurisdiction,raw_court_level,raw_classification_context
2022-06-30,2022-06-30,CHAR_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,GROUP_CUSTODIAL_ORDERS,2022-06-30,OFFENCE_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,219,observed,219,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R20C4,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Custody in a correctional institution,Custodial orders,2021–22,03 Sexual assault & related offences,"Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2022-06-30,CHAR_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,GROUP_CUSTODIAL_ORDERS,2022-06-30,OFFENCE_06_ROBBERY_EXTORTION,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,125,observed,125,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R20C5,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Custody in a correctional institution,Custodial orders,2021–22,06 Robbery/ extortion,"Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2022-06-30,CHAR_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,GROUP_CUSTODIAL_ORDERS,2022-06-30,OFFENCE_07_UNLAWFUL_ENTRY_WITH_INTENT,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,124,observed,124,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R20C6,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Custody in a correctional institution,Custodial orders,2021–22,07 Unlawful entry with intent,"Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2022-06-30,CHAR_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,GROUP_CUSTODIAL_ORDERS,2022-06-30,OFFENCE_09_FRAUD_DECEPTION,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,35,observed,35,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R20C7,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Custody in a correctional institution,Custodial orders,2021–22,09 Fraud/ deception,"Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2022-06-30,CHAR_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,GROUP_CUSTODIAL_ORDERS,2022-06-30,OFFENCE_10_ILLICIT_DRUG_OFFENCES,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,212,observed,212,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R20C8,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Custody in a correctional institution,Custodial orders,2021–22,10 Illicit drug offences,"Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2022-06-30,CHAR_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,GROUP_CUSTODIAL_ORDERS,2022-06-30,OFFENCE_TOTAL,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,1242,observed,1242,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R20C9,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Custody in a correctional institution,Custodial orders,2021–22,Total,"Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2022-06-30,CHAR_CUSTODY_IN_THE_COMMUNITY,GROUP_CUSTODIAL_ORDERS,2022-06-30,OFFENCE_01_HOMICIDE_AND_RELATED_OFFENCES,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R21C2,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Custody in the community,Custodial orders,2021–22,"01 Homicide
 & related offences","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2022-06-30,CHAR_CUSTODY_IN_THE_COMMUNITY,GROUP_CUSTODIAL_ORDERS,2022-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,3,observed,3,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R21C3,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Custody in the community,Custodial orders,2021–22,02 Acts intended to cause injury,"Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2022-06-30,CHAR_CUSTODY_IN_THE_COMMUNITY,GROUP_CUSTODIAL_ORDERS,2022-06-30,OFFENCE_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,3,observed,3,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R21C4,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Custody in the community,Custodial orders,2021–22,03 Sexual assault & related offences,"Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2022-06-30,CHAR_CUSTODY_IN_THE_COMMUNITY,GROUP_CUSTODIAL_ORDERS,2022-06-30,OFFENCE_06_ROBBERY_EXTORTION,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,3,observed,3,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R21C5,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Custody in the community,Custodial orders,2021–22,06 Robbery/ extortion,"Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2022-06-30,CHAR_CUSTODY_IN_THE_COMMUNITY,GROUP_CUSTODIAL_ORDERS,2022-06-30,OFFENCE_07_UNLAWFUL_ENTRY_WITH_INTENT,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R21C6,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Custody in the community,Custodial orders,2021–22,07 Unlawful entry with intent,"Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2022-06-30,CHAR_CUSTODY_IN_THE_COMMUNITY,GROUP_CUSTODIAL_ORDERS,2022-06-30,OFFENCE_09_FRAUD_DECEPTION,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R21C7,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Custody in the community,Custodial orders,2021–22,09 Fraud/ deception,"Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2022-06-30,CHAR_CUSTODY_IN_THE_COMMUNITY,GROUP_CUSTODIAL_ORDERS,2022-06-30,OFFENCE_10_ILLICIT_DRUG_OFFENCES,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R21C8,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Custody in the community,Custodial orders,2021–22,10 Illicit drug offences,"Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2022-06-30,CHAR_CUSTODY_IN_THE_COMMUNITY,GROUP_CUSTODIAL_ORDERS,2022-06-30,OFFENCE_TOTAL,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,9,observed,9,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R21C9,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Custody in the community,Custodial orders,2021–22,Total,"Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2022-06-30,CHAR_FINES,GROUP_NON_CUSTODIAL_ORDERS,2022-06-30,OFFENCE_01_HOMICIDE_AND_RELATED_OFFENCES,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R26C2,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Fines,Non-custodial orders,2021–22,"01 Homicide
 & related offences","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
